starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 26 09:40:15 2021	1627288815	246	129	375	101
Mon Jul 26 09:40:16 2021	1627288816	166	211	377	192
Mon Jul 26 09:40:17 2021	1627288817	237	142	379	104
Mon Jul 26 09:40:15 2021	1627288815	253	126	379	111
Mon Jul 26 09:40:14 2021	1627288814	229	150	379	74
Mon Jul 26 09:40:17 2021	1627288817	205	174	379	67
Mon Jul 26 09:40:17 2021	1627288817	237	142	380	107
Mon Jul 26 09:40:17 2021	1627288817	213	167	381	61
Mon Jul 26 09:40:17 2021	1627288817	275	106	382	94
Mon Jul 26 09:40:14 2021	1627288814	206	176	382	88
Mon Jul 26 09:40:17 2021	1627288817	242	141	383	106
Mon Jul 26 09:40:17 2021	1627288817	222	160	383	110
Mon Jul 26 09:40:17 2021	1627288817	244	140	384	101
Mon Jul 26 09:40:15 2021	1627288815	257	127	385	45
Mon Jul 26 09:40:15 2021	1627288815	275	111	386	76
Mon Jul 26 09:40:17 2021	1627288817	244	142	386	105
Mon Jul 26 09:40:15 2021	1627288815	259	128	387	125
Mon Jul 26 09:40:17 2021	1627288817	220	167	387	61
Mon Jul 26 09:40:16 2021	1627288816	287	100	387	92
Mon Jul 26 09:40:17 2021	1627288817	273	114	387	109
Mon Jul 26 09:40:17 2021	1627288817	185	204	389	177
Mon Jul 26 09:40:16 2021	1627288816	277	112	389	103
Mon Jul 26 09:40:16 2021	1627288816	278	111	389	49
Mon Jul 26 09:40:13 2021	1627288813	327	64	391	25
Mon Jul 26 09:40:15 2021	1627288815	197	195	392	174
Mon Jul 26 09:40:16 2021	1627288816	213	180	393	136
Mon Jul 26 09:40:17 2021	1627288817	126	269	394	76
Mon Jul 26 09:40:16 2021	1627288816	307	88	395	79
Mon Jul 26 09:40:15 2021	1627288815	294	101	396	61
Mon Jul 26 09:40:17 2021	1627288817	370	26	396	22
Mon Jul 26 09:40:17 2021	1627288817	332	64	396	60
Mon Jul 26 09:40:17 2021	1627288817	255	142	397	107
Mon Jul 26 09:40:16 2021	1627288816	270	128	398	100
Mon Jul 26 09:40:14 2021	1627288814	240	160	399	91
Mon Jul 26 09:40:16 2021	1627288816	254	146	400	104
Mon Jul 26 09:40:17 2021	1627288817	259	141	401	107
Mon Jul 26 09:40:16 2021	1627288816	309	92	401	58
Mon Jul 26 09:40:17 2021	1627288817	259	142	401	104
Mon Jul 26 09:40:15 2021	1627288815	279	124	403	111
Mon Jul 26 09:40:15 2021	1627288815	321	83	404	72
Mon Jul 26 09:40:17 2021	1627288817	342	63	405	60
Mon Jul 26 09:40:17 2021	1627288817	256	148	405	80
Mon Jul 26 09:40:13 2021	1627288813	324	82	406	80
Mon Jul 26 09:40:17 2021	1627288817	264	143	407	105
Mon Jul 26 09:40:16 2021	1627288816	267	141	408	83
Mon Jul 26 09:40:14 2021	1627288814	327	81	408	62
Mon Jul 26 09:40:16 2021	1627288816	289	119	408	61
Mon Jul 26 09:40:16 2021	1627288816	225	184	408	147
Mon Jul 26 09:40:17 2021	1627288817	346	64	410	60
Mon Jul 26 09:40:16 2021	1627288816	321	90	411	21
Mon Jul 26 09:40:16 2021	1627288816	299	113	412	94
Mon Jul 26 09:40:17 2021	1627288817	199	214	413	79
Mon Jul 26 09:40:16 2021	1627288816	152	261	413	128
Mon Jul 26 09:40:14 2021	1627288814	146	267	413	94
Mon Jul 26 09:40:17 2021	1627288817	296	118	414	114
Mon Jul 26 09:40:17 2021	1627288817	390	25	415	22
Mon Jul 26 09:40:14 2021	1627288814	216	199	415	100
Mon Jul 26 09:40:16 2021	1627288816	322	93	415	59
Mon Jul 26 09:40:16 2021	1627288816	323	92	416	58
Mon Jul 26 09:40:17 2021	1627288817	252	167	419	106
Mon Jul 26 09:40:17 2021	1627288817	277	143	419	105
Mon Jul 26 09:40:16 2021	1627288816	213	206	420	193
Mon Jul 26 09:40:17 2021	1627288817	297	124	421	38
Mon Jul 26 09:40:16 2021	1627288816	308	113	421	105
Mon Jul 26 09:40:16 2021	1627288816	329	94	422	63
Mon Jul 26 09:40:14 2021	1627288814	281	142	423	75
Mon Jul 26 09:40:13 2021	1627288813	327	97	424	57
Mon Jul 26 09:40:16 2021	1627288816	332	93	425	63
Mon Jul 26 09:40:16 2021	1627288816	285	140	426	82
Mon Jul 26 09:40:17 2021	1627288817	256	170	427	135
Mon Jul 26 09:40:16 2021	1627288816	307	120	428	63
Mon Jul 26 09:40:15 2021	1627288815	216	212	428	107
Mon Jul 26 09:40:16 2021	1627288816	128	301	428	219
Mon Jul 26 09:40:17 2021	1627288817	280	149	430	44
Mon Jul 26 09:40:17 2021	1627288817	282	149	431	38
Mon Jul 26 09:40:16 2021	1627288816	248	183	431	148
Mon Jul 26 09:40:17 2021	1627288817	347	85	432	46
Mon Jul 26 09:40:17 2021	1627288817	347	84	432	16
Mon Jul 26 09:40:16 2021	1627288816	307	127	434	100
Mon Jul 26 09:40:17 2021	1627288817	367	68	434	50
Mon Jul 26 09:40:16 2021	1627288816	342	93	435	61
Mon Jul 26 09:40:17 2021	1627288817	211	226	437	173
Mon Jul 26 09:40:16 2021	1627288816	293	145	438	120
Mon Jul 26 09:40:15 2021	1627288815	224	215	439	79
Mon Jul 26 09:40:16 2021	1627288816	246	194	440	94
Mon Jul 26 09:40:17 2021	1627288817	132	310	442	109
Mon Jul 26 09:40:17 2021	1627288817	398	45	444	38
Mon Jul 26 09:40:17 2021	1627288817	295	150	444	44
Mon Jul 26 09:40:15 2021	1627288815	325	120	445	24
Mon Jul 26 09:40:14 2021	1627288814	192	254	446	71
Mon Jul 26 09:40:17 2021	1627288817	331	117	448	106
Mon Jul 26 09:40:16 2021	1627288816	262	187	449	143
Mon Jul 26 09:40:16 2021	1627288816	354	96	450	39
Mon Jul 26 09:40:14 2021	1627288814	364	90	454	60
Mon Jul 26 09:40:16 2021	1627288816	366	89	456	67
Mon Jul 26 09:40:17 2021	1627288817	237	222	459	199
Mon Jul 26 09:40:16 2021	1627288816	193	267	460	113
Mon Jul 26 09:40:16 2021	1627288816	357	104	461	41
Mon Jul 26 09:40:16 2021	1627288816	268	195	463	94
Mon Jul 26 09:40:16 2021	1627288816	303	160	463	77
Mon Jul 26 09:40:16 2021	1627288816	217	247	464	126
Mon Jul 26 09:40:15 2021	1627288815	251	214	465	79
Mon Jul 26 09:40:16 2021	1627288816	353	113	466	93
Mon Jul 26 09:40:15 2021	1627288815	180	286	466	57
Mon Jul 26 09:40:15 2021	1627288815	232	235	467	90
Mon Jul 26 09:40:17 2021	1627288817	359	110	469	108
Mon Jul 26 09:40:17 2021	1627288817	246	227	472	219
Mon Jul 26 09:40:17 2021	1627288817	331	142	473	105
Mon Jul 26 09:40:16 2021	1627288816	176	299	475	159
Mon Jul 26 09:40:15 2021	1627288815	407	70	477	64
Mon Jul 26 09:40:16 2021	1627288816	382	95	478	39
Mon Jul 26 09:40:16 2021	1627288816	385	95	480	31
Mon Jul 26 09:40:17 2021	1627288817	329	152	481	61
Mon Jul 26 09:40:17 2021	1627288817	340	142	481	104
Mon Jul 26 09:40:13 2021	1627288813	374	110	483	71
Mon Jul 26 09:40:16 2021	1627288816	359	125	484	120
Mon Jul 26 09:40:16 2021	1627288816	221	265	486	245
Mon Jul 26 09:40:14 2021	1627288814	315	172	487	146
Mon Jul 26 09:40:17 2021	1627288817	266	222	489	167
Mon Jul 26 09:40:16 2021	1627288816	385	110	494	49
Mon Jul 26 09:40:16 2021	1627288816	385	111	497	89
Mon Jul 26 09:40:16 2021	1627288816	228	269	497	236
Mon Jul 26 09:40:16 2021	1627288816	252	246	498	126
Mon Jul 26 09:40:14 2021	1627288814	405	93	498	34
Mon Jul 26 09:40:15 2021	1627288815	309	191	500	170
Mon Jul 26 09:40:17 2021	1627288817	355	146	501	39
Mon Jul 26 09:40:15 2021	1627288815	244	259	503	65
Mon Jul 26 09:40:17 2021	1627288817	353	150	503	65
Mon Jul 26 09:40:15 2021	1627288815	409	96	504	60
Mon Jul 26 09:40:14 2021	1627288814	176	331	507	145
Mon Jul 26 09:40:17 2021	1627288817	359	150	508	65
Mon Jul 26 09:40:17 2021	1627288817	449	64	513	60
Mon Jul 26 09:40:14 2021	1627288814	352	164	516	116
Mon Jul 26 09:40:14 2021	1627288814	414	107	521	53
Mon Jul 26 09:40:14 2021	1627288814	153	370	523	142
Mon Jul 26 09:40:17 2021	1627288817	375	150	525	114
Mon Jul 26 09:40:16 2021	1627288816	214	311	526	109
Mon Jul 26 09:40:17 2021	1627288817	459	67	526	60
Mon Jul 26 09:40:15 2021	1627288815	365	161	526	122
Mon Jul 26 09:40:17 2021	1627288817	382	150	532	39
Mon Jul 26 09:40:17 2021	1627288817	372	161	532	117
Mon Jul 26 09:40:17 2021	1627288817	391	141	533	104
Mon Jul 26 09:40:17 2021	1627288817	423	111	533	58
Mon Jul 26 09:40:17 2021	1627288817	465	70	535	41
Mon Jul 26 09:40:16 2021	1627288816	275	260	536	126
Mon Jul 26 09:40:17 2021	1627288817	412	124	536	38
Mon Jul 26 09:40:16 2021	1627288816	392	145	537	88
Mon Jul 26 09:40:16 2021	1627288816	235	303	539	233
Mon Jul 26 09:40:13 2021	1627288813	425	113	539	97
Mon Jul 26 09:40:17 2021	1627288817	372	170	542	106
Mon Jul 26 09:40:14 2021	1627288814	417	126	543	93
Mon Jul 26 09:40:16 2021	1627288816	326	219	545	169
Mon Jul 26 09:40:17 2021	1627288817	395	151	546	58
Mon Jul 26 09:40:16 2021	1627288816	318	228	547	87
Mon Jul 26 09:40:17 2021	1627288817	386	161	547	110
Mon Jul 26 09:40:14 2021	1627288814	253	295	549	84
Mon Jul 26 09:40:15 2021	1627288815	144	407	551	143
Mon Jul 26 09:40:16 2021	1627288816	226	326	552	195
Mon Jul 26 09:40:16 2021	1627288816	271	284	555	125
Mon Jul 26 09:40:17 2021	1627288817	434	125	559	103
Mon Jul 26 09:40:16 2021	1627288816	445	114	559	99
Mon Jul 26 09:40:17 2021	1627288817	461	101	561	53
Mon Jul 26 09:40:17 2021	1627288817	191	372	563	299
Mon Jul 26 09:40:16 2021	1627288816	445	120	565	62
Mon Jul 26 09:40:17 2021	1627288817	469	98	567	57
Mon Jul 26 09:40:16 2021	1627288816	461	109	570	90
Mon Jul 26 09:40:13 2021	1627288813	475	96	571	73
Mon Jul 26 09:40:16 2021	1627288816	303	271	574	209
Mon Jul 26 09:40:15 2021	1627288815	214	361	575	161
Mon Jul 26 09:40:16 2021	1627288816	442	138	579	100
Mon Jul 26 09:40:16 2021	1627288816	270	309	580	112
Mon Jul 26 09:40:14 2021	1627288814	389	195	584	173
Mon Jul 26 09:40:17 2021	1627288817	410	177	587	112
Mon Jul 26 09:40:15 2021	1627288815	347	245	592	116
Mon Jul 26 09:40:15 2021	1627288815	436	157	593	125
Mon Jul 26 09:40:17 2021	1627288817	491	103	594	53
Mon Jul 26 09:40:16 2021	1627288816	333	261	594	261
Mon Jul 26 09:40:16 2021	1627288816	471	124	595	67
Mon Jul 26 09:40:15 2021	1627288815	269	327	596	78
Mon Jul 26 09:40:17 2021	1627288817	556	41	598	36
Mon Jul 26 09:40:16 2021	1627288816	288	311	598	112
Mon Jul 26 09:40:15 2021	1627288815	349	250	599	188
Mon Jul 26 09:40:16 2021	1627288816	395	207	602	105
Mon Jul 26 09:40:14 2021	1627288814	311	292	603	83
Mon Jul 26 09:40:16 2021	1627288816	405	199	603	133
Mon Jul 26 09:40:17 2021	1627288817	535	69	604	40
Mon Jul 26 09:40:17 2021	1627288817	444	161	605	108
Mon Jul 26 09:40:16 2021	1627288816	507	98	605	82
Mon Jul 26 09:40:16 2021	1627288816	491	117	608	97
Mon Jul 26 09:40:17 2021	1627288817	563	46	609	26
Mon Jul 26 09:40:16 2021	1627288816	267	343	611	161
